model_a,model_b,diff_pp,ci_lo_pp,ci_hi_pp,p_value,p_holm,significant_holm_0.05
tiny,base,5.44,4.66,6.26,0.001,0.036,yes
tiny,small,9.9,9.04,10.76,0.001,0.036,yes
tiny,medium,12.07,11.17,12.98,0.001,0.036,yes
tiny,large,12.86,11.93,13.79,0.001,0.036,yes
tiny,large_v3_turbo,11.86,10.93,12.78,0.001,0.036,yes
tiny,parakeet,8.24,7.3,9.21,0.001,0.036,yes
tiny,parakeet_ctc,4.32,3.32,5.3,0.001,0.036,yes
tiny,qwen3,8.15,7.23,9.11,0.001,0.036,yes
base,small,4.46,3.95,4.94,0.001,0.036,yes
base,medium,6.64,6.15,7.17,0.001,0.036,yes
base,large,7.42,6.92,7.97,0.001,0.036,yes
base,large_v3_turbo,6.43,5.91,6.97,0.001,0.036,yes
base,parakeet,2.8,2.15,3.43,0.001,0.036,yes
base,parakeet_ctc,-1.12,-1.83,-0.43,0.002,0.036,yes
base,qwen3,2.71,2.08,3.35,0.001,0.036,yes
small,medium,2.17,1.78,2.59,0.001,0.036,yes
small,large,2.96,2.56,3.39,0.001,0.036,yes
small,large_v3_turbo,1.96,1.57,2.39,0.001,0.036,yes
small,parakeet,-1.66,-2.24,-1.07,0.001,0.036,yes
small,parakeet_ctc,-5.58,-6.23,-4.93,0.001,0.036,yes
small,qwen3,-1.75,-2.32,-1.15,0.001,0.036,yes
medium,large,0.79,0.48,1.09,0.001,0.036,yes
medium,large_v3_turbo,-0.21,-0.55,0.08,0.1749,0.3498,no
medium,parakeet,-3.83,-4.37,-3.33,0.001,0.036,yes
medium,parakeet_ctc,-7.75,-8.42,-7.14,0.001,0.036,yes
medium,qwen3,-3.92,-4.48,-3.36,0.001,0.036,yes
large,large_v3_turbo,-1.0,-1.34,-0.68,0.001,0.036,yes
large,parakeet,-4.62,-5.16,-4.1,0.001,0.036,yes
large,parakeet_ctc,-8.54,-9.22,-7.92,0.001,0.036,yes
large,qwen3,-4.71,-5.26,-4.18,0.001,0.036,yes
large_v3_turbo,parakeet,-3.62,-4.15,-3.13,0.001,0.036,yes
large_v3_turbo,parakeet_ctc,-7.55,-8.16,-6.94,0.001,0.036,yes
large_v3_turbo,qwen3,-3.71,-4.26,-3.15,0.001,0.036,yes
parakeet,parakeet_ctc,-3.92,-4.54,-3.35,0.001,0.036,yes
parakeet,qwen3,-0.09,-0.65,0.48,0.7656,0.7656,no
parakeet_ctc,qwen3,3.83,3.44,4.24,0.001,0.036,yes
