split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Age,Native_Language,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,281474976902157_f633_chunk_0.wav,,0.3258125,Female,45-60,Urdu,small,transcript_clean,gold,Five,five,"late to so much. And another Live Five o'clock tonight and guys, have a great evening. Um definitely copy this movie to me tonight. Bye guys! I'll see you in case of danger. And I'll see you out tonight! Thank you. With the current смотрите fun reflective, it may well be aurnal. Bye.",late to so much and another live five oclock tonight and guys have a great evening um definitely copy this movie to me tonight bye guys ill see you in case of danger and ill see you out tonight thank you with the current смотрите fun reflective it may well be aurnal bye,52.0,66.5,1.0,53.0
test,281474976887081_f2283_chunk_7.wav,,0.694,Female,30-45,Gujarati,small,transcript_clean,gold,Halarda,halarda,more videos other videos other videos other bigger videos over there This Whats Its fireworks crispy crunchy Crispy Crispy Crispy Crispy Crispy Crispy Crispy Crispy This Iswindow Sometimes pretty Short Do,more videos other videos other videos other bigger videos over there this whats its fireworks crispy crunchy crispy crispy crispy crispy crispy crispy crispy crispy this iswindow sometimes pretty short do,31.0,28.5714,0.0,31.0
test,281474976893651_f818_chunk_0.wav,,0.3278125,Male,60+,Marathi,small,transcript_clean,gold,House,house,"as well as in Palm Beach, of futuremms. Thank you all for watching. I hope you enjoyed this video. Hope to see you again in the next ones.",as well as in palm beach of futuremms thank you all for watching i hope you enjoyed this video hope to see you again in the next ones,28.0,25.6,0.0,28.0
test,281474976893929_f1399_chunk_0.wav,,0.4085,Female,18-30,Nepali,small,transcript_clean,gold,Bed,bed,You had someone badly hurt that he was in a new cavern. Be POAM!,you had someone badly hurt that he was in a new cavern be poam,14.0,20.0,0.0,14.0
test,281474976892333_f3244_chunk_1.wav,,1.7199375,Male,30-45,Dogri,small,transcript_clean,gold,VR games.,vr games,since I know V grandson because I thought V soap's a waste komme come on N,since i know v grandson because i thought v soap s a waste komme come on n,8.5,8.375,0.0,8.5
test,281474976899564_f2428_chunk_0.wav,,0.2633125,Female,45-60,Bengali,small,transcript_clean,gold,House,house,How is.</p><p longo Resources base class.,how is p p longo resources base class,8.0,6.4,0.0,8.0
test,281474976893991_f3340_chunk_0.wav,,0.47075,Female,45-60,Telugu,small,transcript_clean,gold,Kichidi,kichidi,ki chicka dt University of South separatist camps.,ki chicka dt university of south separatist camps,8.0,6.0,0.0,8.0
test,281474976893912_f2185_chunk_7.wav,,0.671375,Male,30-45,Bodo,small,transcript_clean,gold,addiction,addiction,"Britton perhaps, needs to go through if possible.",britton perhaps needs to go through if possible,8.0,4.6667,0.0,8.0
test,281474976897634_f275_chunk_0.wav,,0.2164375,Male,30-45,Tamil,small,transcript_clean,gold,Help,help,Thank you. Have a great day.,thank you have a great day,6.0,6.0,0.0,6.0
test,281474976893988_f2006_chunk_3.wav,,0.430625,Female,45-60,Telugu,small,transcript_clean,gold,Padma,padma,"proven enough, not a good dog.",proven enough not a good dog,6.0,5.0,0.0,6.0
test,281474976884349_f1690_chunk_1.wav,,0.5906875,Female,18-30,Tamil,small,transcript_clean,gold,Chennai,chennai,Have a great day and night.,have a great day and night,6.0,3.2857,0.0,6.0
test,281474976899945_f943_chunk_0.wav,,0.41,Male,30-45,Maithili,small,transcript_clean,gold,hallow,hallow,Max deer up until next video.,max deer up until next video,6.0,4.3333,0.0,6.0
test,281474976897103_f2691_chunk_0.wav,,0.427875,Male,18-30,Hindi,small,transcript_clean,gold,One,one,Thank you for your time.,thank you for your time,5.0,7.0,0.0,5.0
test,281474976893988_f2006_chunk_4.wav,,0.5846875,Female,45-60,Telugu,small,transcript_clean,gold,Vishnupriya,vishnupriya,I hope I know you.,i hope i know you,5.0,1.2727,0.0,5.0
test,281474976895273_f2716_chunk_1.wav,,1.705625,Male,30-45,Kashmiri,small,transcript_clean,gold,RSRTC.,rsrtc,R S R D C,r s r d c,5.0,1.0,0.0,5.0
test,281474976885769_f1327_chunk_0.wav,,0.4158125,Female,30-45,Kannada,small,transcript_clean,gold,power off,power off,"So, I'll see you in the next video. Bye-bye.",so ill see you in the next video bye bye,5.0,4.0,0.0,5.0
test,281474976890748_f2054_chunk_8.wav,,0.99425,Male,18-30,Dogri,small,transcript_clean,gold,Baisakhi,baisakhi,best of all key,best of all key,4.0,1.5,0.0,4.0
test,281474976888161_f1851_chunk_13.wav,,0.690875,Male,30-45,Maithili,small,transcript_clean,gold,Rasgulla,rasgulla,That's good luck.,that s good luck,4.0,1.5,0.0,4.0
test,281474976901132_f81_chunk_0.wav,,0.577,Female,45-60,Maithili,small,transcript_clean,gold,Visual,visual,We shall see together.,we shall see together,4.0,3.0,0.0,4.0
test,281474976896225_f3038_chunk_0.wav,,0.792875,Female,18-30,Tamil,small,transcript_clean,gold,Forward,forward,It's all good.,it s all good,4.0,1.5714,0.0,4.0
