split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer
test,zz3cEoeWrUo,206,M,FAST,SOUTH,20.53,Engineering,Analysis of Gas Generator and Staged Combustion Cycles and Introduction to Injectors,youtube_aligned,hf_raw,Normalised_Transcript,of the separated flow lingers on and c d decreases it never comes back to this that means even a small thing like a shower head injector which is nothing but an orifice like this it has it is not that straight forward and what happens let us let us try to put this down,of the separated flow lingers on and c d decreases it never comes back to this that means even a small thing like a shower head injector which is nothing but an orifice like this it has it is not that straight forward and what happens let us let us try to put this down,"very well designed you find the jets of water come like this as laminar streams. If it is not very well designed, you find some drop drops of water coming like this, may be at the same value of velocity. We would like to have an injector which is something like a shower head, but which is able to produce droplets and this is one type of injector. And this type of injector is known as a shower head injector. Let us","very well designed you find the jets of water come like this as laminar streams. If it is not very well designed, you find some drop drops of water coming like this, may be at the same value of velocity. We would like to have an injector which is something like a shower head, but which is able to produce droplets and this is one type of injector. And this type of injector is known as a shower head injector. Let us",1.3455
test,CPP29SU0cco,296,F,AVG,EAST,1.0,Engineering,4 Lecture - 6 The practical Op-Amp,youtube_aligned,hf_raw,Normalised_Transcript,what is this,what is this,Vf. What is this?,Vf. What is this?,1.0
test,1Gqi2iL7ZN8,6,M,AVG,SOUTH,20.49,Engineering,"Demo - Laplace equation, SOR",youtube_aligned,hf_raw,Normalised_Transcript,professor student conversation ends so essentially what we are doing is no no it is fine it is essentially what we are saying essentially what we are saying is so this is zero,professor student conversation ends so essentially what we are doing is no no it is fine it is essentially what we are saying essentially what we are saying is so this is zero,"sense? I can go to the board. It is fine? We will see if it shows, yes. “Professor - student conversation ends” So essentially what we are doing is, no, no it is fine. It is okay. Essentially what we are saying, essentially what we are saying is, so this is 0,0.","sense? I can go to the board. It is fine? We will see if it shows, yes. “Professor - student conversation ends” So essentially what we are doing is, no, no it is fine. It is okay. Essentially what we are saying, essentially what we are saying is, so this is 0,0.",0.9091
test,DWsJ_XUm23s,6,M,FAST,SOUTH,18.631,Engineering,"Introduction, Why and how we need computers",youtube_aligned,hf_raw,Normalised_Transcript,zero zero this represents the number zero zero one represents the number one and so on so each of these symbols when i have eight combinations i can interpret it as something just like when i write one the one just like when i write the one you interpret it as one you give,zero zero this represents the number zero zero one represents the number one and so on so each of these symbols when i have eight combinations i can interpret it as something just like when i write one the one just like when i write the one you interpret it as one you give,"bits that is 16 symbols I can interpret what I mean by interpret just coming back here what I mean by interpret is I can say for instants 0 0. This represents the number 0, 0 1 represents the number 1 and so on. So each of these symbols when I have 8 combinations I can interpret it as something just like when I write 1 the (())(20:10) 1, just like when I write the (())(20:13) 1 you interpret it as 1. You give","bits that is 16 symbols I can interpret what I mean by interpret just coming back here what I mean by interpret is I can say for instants 0 0. This represents the number 0, 0 1 represents the number 1 and so on. So each of these symbols when I have 8 combinations I can interpret it as something just like when I write 1 the (())(20:10) 1, just like when I write the (())(20:13) 1 you interpret it as 1. You give",0.9074
test,UxOyD_iHfs4,42,M,SLOW,NORTH,22.26,Non-Engineering,Electrocyclic Reaction - II,youtube_aligned,hf_raw,Normalised_Transcript,is this again it is a six pi electron system right so six pi electron system nothing but four n plus two you have to use your four n plus two rule so on heating what it says four n plus two rule because you know for four electron system for eight electron system on heating it is con,is this again it is a six pi electron system right so six pi electron system nothing but four n plus two you have to use your four n plus two rule so on heating what it says four n plus two rule because you know for four electron system for eight electron system on heating it is con,"in 8 electron system, I showed an example where it undergoes a further pericyclic reaction. See, in this case, this can undergo a nice electrocyclic reaction because what system is this? Again it is a 6 pi electron system, right. So, 6 pi electron system nothing but 4 n plus 2. You have to use your 4 n plus 2 rule. So, on heating, what it says 4 n plus 2 rule, because you know for 4 electron system, for 8 electron system, on heating, it is con.","in 8 electron system, I showed an example where it undergoes a further pericyclic reaction. See, in this case, this can undergo a nice electrocyclic reaction because what system is this? Again it is a 6 pi electron system, right. So, 6 pi electron system nothing but 4 n plus 2. You have to use your 4 n plus 2 rule. So, on heating, what it says 4 n plus 2 rule, because you know for 4 electron system, for 8 electron system, on heating, it is con.",0.8983
test,3_GaTA2VGrA,225,M,SLOW,SOUTH,23.14,Engineering,Fundamental Ideas,youtube_aligned,hf_raw,Normalised_Transcript,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,addition we can illustrate this much more clearly when we demonstrate the states graphically since the entropy increases p two cannot be equal to p one p two has to be p one so even if you have heat addition in a reversible process even a reversible heat addition process,"a loss of stagnation pressure. So, in this case also, P02 will be < P01 because of the increase in entropy due to the heat addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process","a loss of stagnation pressure. So, in this case also, P02 will be < P01 because of the increase in entropy due to the heat addition, okay. We can actually illustrate this much more clearly when we demonstrate the states graphically, okay. Since the entropy increases, P02 cannot be equal to P01. P02 has to be < P01. So, even if you have heat addition in a reversible process, even a reversible heat addition process",0.86
test,4UFmjCPnhsQ,7,M,SLOW,EAST,21.61,Engineering,Adiabatic Flow in ducts with friction,youtube_aligned,hf_raw,Normalised_Transcript,also additional equation we can use so this is our let us say this we will denote as our five t h equation and coming back this is our equation number one this is equation,also additional equation we can use so this is our let us say this we will denote as our five t h equation and coming back this is our equation number one this is equation,"plus gamma M square by two four f d x by D . So, yet this is our fifth equation also additional equation we can use. So, this is our let us say this we will denote as our fifth equation and coming back well this is our equation number one,","plus gamma M square by two four f d x by D . So, yet this is our fifth equation also additional equation we can use. So, this is our let us say this we will denote as our fifth equation and coming back well this is our equation number one,",0.8571
test,uTwnhr71AIQ,269,M,FAST,SOUTH,18.9,Non-Engineering,(Contd..),youtube_aligned,hf_raw,Normalised_Transcript,five in this interferometer if i set up this interferometer so that i send a single photon state from here so i have an input state which is one one zero two then the probability of getting a photon in phi is zero because output state is zero five one,five in this interferometer if i set up this interferometer so that i send a single photon state from here so i have an input state which is one one zero two then the probability of getting a photon in phi is zero because output state is zero five one,"2 because this path and this path you can see are in phase and this path and this path will be out of phase by 5. In this interferometer, if I set up this interferometer, so that I send a single photon state from here. So I have an input state which is 1 1 0 2 then, the probability of getting a photon in phi is 0 because output state is 0 5 1","2 because this path and this path you can see are in phase and this path and this path will be out of phase by 5. In this interferometer, if I set up this interferometer, so that I send a single photon state from here. So I have an input state which is 1 1 0 2 then, the probability of getting a photon in phi is 0 because output state is 0 5 1",0.84
test,0UMP-SyxYRk,175,M,SLOW,NORTH,30.0,Non-Engineering,"Fundamental theorems on limits, Bolzano-Weiersstrass Theorem",youtube_aligned,hf_raw,Normalised_Transcript,important result because it shows that every bounded sequence of real it may not be a convergence like minus one to the power is not a convergent but it has a bounded convergent subsequence at least one bounded convergent subsequence may be there the proof is based on the previous result suppose x n is a bounded sequence is a bounded,important result because it shows that every bounded sequence of real it may not be a convergence like minus one to the power is not a convergent but it has a bounded convergent subsequence at least one bounded convergent subsequence may be there the proof is based on the previous result suppose x n is a bounded sequence is a bounded,"which is known as the Bolzano Weierstrass theorem. The Bolzano Weierstrass theorem say that what this is a bounded sequence a bounded sequence a bounded sequence of real numbers has a convergent subsequence. So, that is very important result because it shows that every bounded sequence of real it may not be a convergence like minus 1 to the power is not a convergent, but it has a bounded convergent subsequence, at least one bounded convergent subsequence may be there. The proof is based on the previous result. Suppose, x n","which is known as the Bolzano Weierstrass theorem. The Bolzano Weierstrass theorem say that what this is a bounded sequence a bounded sequence a bounded sequence of real numbers has a convergent subsequence. So, that is very important result because it shows that every bounded sequence of real it may not be a convergence like minus 1 to the power is not a convergent, but it has a bounded convergent subsequence, at least one bounded convergent subsequence may be there. The proof is based on the previous result. Suppose, x n",0.8361
test,RbZKGIqs_MA,249,M,SLOW,SOUTH,19.93,Engineering,Estimate of classical damping,youtube_aligned,hf_raw,Normalised_Transcript,inverse k and so on is it not so i get a group now which will be m inverse k m inverse k m inverse k like this i can now write this as m m inverse k of l,inverse k and so on is it not so i get a group now which will be m inverse k m inverse k m inverse k like this i can now write this as m m inverse k of l,"this for different values of l. I can expand it like this; m m inverse K m inverse K m inverse K and so on, is it not? So, I get a group now, which will be m inverse K m inverse K m inverse K like this. I can now write this as m m inverse K of l,","this for different values of l. I can expand it like this; m m inverse K m inverse K m inverse K and so on, is it not? So, I get a group now, which will be m inverse K m inverse K m inverse K like this. I can now write this as m m inverse K of l,",0.825
