split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13915-G13915S5399,AESRC2020-INDIAN-ACCENT-G13915,6.069,INDIAN,small_hf,whisper_norm,gold,one nine zero four eight six nine one six three,1904869163,"1, 9, 0, 4, 8, 6, 9, 1, 6, 3.",one 9 0 4 8 6 9 one 6 3,10.0,1.5,0.0,10.0
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,small_hf,whisper_norm,gold,will there be snow in amsterda,will there be snow in amsterda,We'll just be snowing and I'm straddle,we will just be snowing and i am straddle,1.1667,0.7,0.3333,1.5
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_hf,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,Favorite Karutham Yudhu,favorite karutham yudhu,1.0,0.1429,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,small_hf,whisper_norm,gold,adjust direction to,adjust direction to,Add just direction to look.,add just direction to look,1.0,0.3684,0.6667,1.6667
test,AESRC2020-INDIAN-ACCENT-G22849-G22849S2354,AESRC2020-INDIAN-ACCENT-G22849,2.961,INDIAN,small_hf,whisper_norm,gold,when was the show yahan main ghar ghar kheli made,when was the show yahan main ghar ghar kheli made,"Vinvalda Show, here I play homemade.",vinvalda show here i play homemade,0.9,0.6122,0.1111,0.6
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_hf,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,The best Jumbobada Power Center have take away.,the best jumbobada power center have take away,0.75,0.2222,0.375,1.0
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,small_hf,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,When did one daula azul day zero and first debit?,when did one daula azul day 0 and 1st debit,0.6667,0.3556,0.4444,1.1111
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,small_hf,whisper_norm,gold,of it the plot of lioness,of it the plot of lioness,or what is the plot of Linus?,or what is the plot of linus,0.6667,0.4,0.6,1.1667
test,AESRC2020-INDIAN-ACCENT-G02684-G02684S2355,AESRC2020-INDIAN-ACCENT-G02684,3.13,INDIAN,small_hf,whisper_norm,gold,only play songs by ismael belouch,only play songs by ismael belouch,Only play songs while smile be loved.,only play songs while smile be loved,0.6667,0.3939,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_hf,whisper_norm,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,Play Songs by Maya Pathy Shri Ram Chandra,play songs by maya pathy shri ram chandra,0.6667,0.2051,0.6667,1.3333
