ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
BvJXc1DQI-0,23.23,1.6413,0.0707,225
gS5iH0QkPHg,25.59,2.3226,0.0908,303
D7Zu1-9kSUg,17.211,1.4221,0.0826,227
rNdMsEHElc4,27.01,2.5554,0.0946,324
aD_BO4DwxlU,21.94,1.8733,0.0854,263
_A5wRmd2rwI,23.04,1.9543,0.0848,355
fGR_qtyRP_I,33.05,2.5167,0.0761,369
5hscXtk6usE,30.291,2.1961,0.0725,351
J_lm2iJ0l0k,27.43,2.384,0.0869,362
kPnr_57oii4,29.74,0.7455,0.0251,51
hOoGiaUkKpc,25.28,2.1059,0.0833,355
XbUgxPtJuUg,19.66,1.5892,0.0808,208
GOUowwtdcPU,21.16,2.2447,0.1061,345
H1cq5p2nryw,23.09,2.438,0.1056,301
6lqsHV_2yJc,19.76,1.2695,0.0642,177
f2kikEusCEM,23.459,2.1474,0.0915,295
uTwm3Zv1HfA,25.431,1.7395,0.0684,201
xacD9zJCqZ4,26.68,2.2206,0.0832,337
h47JDhpdYe0,24.081,1.4713,0.0611,156
vNNLvowQqoU,23.769,1.8715,0.0787,235
thF6wrlwdTQ,20.33,0.9624,0.0473,104
whCu4Xl3m98,14.58,1.0408,0.0714,111
P5nwZQe4QYI,19.92,2.3393,0.1174,379
JH9x87yjoEk,26.319,2.365,0.0899,343
4ZydYE-0994,24.601,1.8472,0.0751,353
w_ZPOjcxD8U,33.82,2.291,0.0677,289
1JGSQQRu4fg,12.321,1.2169,0.0988,170
F2NqTIej98Q,28.819,2.3028,0.0799,320
pGu3HxJQF7I,24.49,1.495,0.061,255
0zceBXshBzA,22.88,1.9776,0.0864,321
6704d9DDwLo,24.379,1.6331,0.067,268
VLv1adcoiWo,25.249,2.5627,0.1015,346
dgyPeFemyL8,23.23,1.6117,0.0694,270
IcN9rLzhV3U,26.53,1.672,0.063,252
0AuMdY3IyJ8,27.74,1.6301,0.0588,204
pGT6iJ_z5Vs,26.35,1.7438,0.0662,234
Ct2RYsd7blI,24.67,1.446,0.0586,251
too4A5mo1Pk,22.25,2.3683,0.1064,385
jnQFMdMSRAE,25.319,1.8807,0.0743,248
Z4WvQ152QP8,21.67,13.5833,0.6268,374
fwRFaZnr2WU,24.49,2.0042,0.0818,352
C1XMxZEjP8I,22.65,1.6017,0.0707,218
FXEgxrRFVMQ,17.31,1.2664,0.0732,159
4LgvOdyaJ04,23.82,2.1026,0.0883,357
kVr9gGPuThY,20.959,1.2118,0.0578,187
d7gzALqU95Y,28.34,1.966,0.0694,355
trHd9k3WKWg,33.63,2.0865,0.062,320
zz3cEoeWrUo,20.53,1.8569,0.0904,243
DzF13C0g40A,24.42,1.3064,0.0535,174
jcds3fbVLg0,27.45,1.2251,0.0446,164
djzzZHbUc80,25.36,2.2718,0.0896,309
gxges_uq5lc,23.58,1.5891,0.0674,259
PcQlvbmHDVY,28.38,1.7087,0.0602,267
aGM0r3QsYYU,35.669,2.2633,0.0635,371
p-JPAGGOvjU,22.07,1.3935,0.0631,204
Y03fkk2zdOE,23.7,1.5425,0.0651,260
pLPQGrvV4_g,29.071,2.1587,0.0743,370
lmr4kETnwi0,22.05,2.3268,0.1055,352
7r7rLJqhBBw,19.851,2.1572,0.1087,345
JVdBgP5SD14,29.74,2.2735,0.0764,353
rL47ZBWKRd0,19.65,2.7337,0.1391,364
4vl_r79DBKU,24.459,2.0427,0.0835,323
UfS8-eLsxRA,24.41,2.1676,0.0888,355
qXZ11_ZbxOs,26.8,2.0525,0.0766,267
EayOCWaiRkw,27.8,1.5002,0.054,265
2LyY4t0Gfvs,34.231,2.5608,0.0748,365
Byf8i1KkBiY,20.381,1.4511,0.0712,188
hric4h80PDc,22.6,2.0333,0.09,313
zVkYmU_CUTs,16.759,1.6184,0.0966,281
LORmHAC_vPo,29.63,1.6148,0.0545,179
DPy4x6ffCrw,18.87,2.4107,0.1278,286
OhERfauZmg0,27.86,2.4041,0.0863,307
6aec4K8H9lE,36.23,2.5058,0.0692,301
Rm-APM83TKc,21.98,2.2232,0.1011,297
_Bds8lC3Pog,25.27,2.5834,0.1022,354
o3mpbZ_FRd0,5.34,0.5019,0.094,43
