ID,duration_seconds,latency_seconds,rtf,hypothesis_chars
281474976902188_f2127_chunk_7.wav,2.9,0.5052,0.1742,32
281474976888909_f3258_chunk_7.wav,7.414,0.5862,0.0791,49
281474976894795_f2258_chunk_11.wav,12.681,1.2164,0.0959,113
281474976899564_f2428_chunk_0.wav,0.263,0.3357,1.275,4
281474976885777_f1381_chunk_0.wav,2.889,0.5006,0.1733,41
281474976893835_f569_chunk_0.wav,0.862,1.2314,1.4289,8
281474976895412_f1595_chunk_0.wav,0.312,0.2934,0.9412,2
281474976901586_f1451_chunk_0.wav,0.678,0.2893,0.427,4
281474976892134_f1122_chunk_0.wav,3.074,0.4645,0.1511,42
281474976902183_f1898_chunk_0.wav,3.165,0.4347,0.1373,46
281474976889207_f2377_chunk_2.wav,4.053,0.3943,0.0973,12
281474976887817_f1763_chunk_0.wav,8.107,1.0005,0.1234,126
281474976895868_f659_chunk_0.wav,0.576,0.3312,0.5755,2
281474976901152_f2107_chunk_3.wav,0.75,0.2829,0.3769,2
281474976906745_f2447_chunk_1.wav,3.633,0.5674,0.1562,48
281474976888218_f2769_chunk_0.wav,6.191,0.5517,0.0891,56
281474976884079_f2150_chunk_1.wav,8.867,1.2669,0.1429,122
281474976897522_f1981_chunk_9.wav,1.3,0.3985,0.3066,9
281474976888160_f3202_chunk_5.wav,4.783,0.7037,0.1471,70
281474976894896_f456_chunk_0.wav,4.31,0.8582,0.1991,74
281474976893750_f2373_chunk_0.wav,6.392,0.6456,0.101,76
281474976893843_f2130_chunk_4.wav,10.617,0.8897,0.0838,100
281474976893153_f2820_chunk_0.wav,2.839,0.537,0.1891,46
281474976893017_f2672_chunk_0.wav,5.479,0.6392,0.1167,87
281474976894273_f3279_chunk_17.wav,8.455,0.9987,0.1181,110
281474976897290_f1204_chunk_0.wav,0.645,0.2719,0.4216,5
281474976897454_f1975_chunk_4.wav,7.72,0.6727,0.0871,75
281474976900333_f1733_chunk_4.wav,0.71,0.3645,0.5137,12
281474976887025_f36_chunk_0.wav,3.393,0.5704,0.1681,38
281474976901454_f524_chunk_0.wav,0.801,0.3132,0.3911,3
281474976895208_f2923_chunk_0.wav,7.571,0.9876,0.1304,109
281474976884627_f3339_chunk_2.wav,2.811,0.5827,0.2073,44
281474976889221_f3229_chunk_0.wav,5.4,0.7306,0.1353,87
281474976901164_f2275_chunk_6.wav,1.103,0.3346,0.3034,10
281474976899764_f2324_chunk_0.wav,0.205,0.2855,1.3945,4
281474976903187_f2699_chunk_1.wav,2.356,0.307,0.1303,32
281474976885801_f2235_chunk_21.wav,4.75,0.5131,0.108,56
281474976884085_f3239_chunk_23.wav,5.48,0.6481,0.1183,62
281474976901153_f1889_chunk_7.wav,2.522,0.5447,0.2159,38
281474976893848_f3250_chunk_9.wav,9.65,1.1279,0.1169,98
281474976893172_f2123_chunk_3.wav,6.109,0.8293,0.1358,109
281474976885800_f1683_chunk_9.wav,5.519,0.8368,0.1516,106
281474976884044_f1919_chunk_1.wav,3.714,0.409,0.1101,20
281474976887807_f3177_chunk_0.wav,5.056,0.8831,0.1747,52
281474976894795_f2258_chunk_22.wav,14.101,1.6986,0.1205,138
281474976892193_f1802_chunk_0.wav,0.608,0.2221,0.3651,2
281474976898621_f2032_chunk_0.wav,1.785,0.452,0.2532,28
281474976894268_f1720_chunk_0.wav,1.26,0.5021,0.3985,27
281474976896999_f1689_chunk_1.wav,2.336,0.4694,0.201,39
281474976886817_f1675_chunk_1.wav,0.62,0.2877,0.4639,8
281474976892333_f3244_chunk_6.wav,4.26,0.4689,0.1101,36
281474976884637_f2218_chunk_6.wav,4.96,0.5448,0.1099,47
281474976899581_f1864_chunk_5.wav,2.436,0.3614,0.1483,21
281474976899757_f1404_chunk_0.wav,8.84,0.886,0.1002,72
281474976893846_f3264_chunk_3.wav,13.0,0.8571,0.0659,105
281474976900339_f2186_chunk_1.wav,7.66,0.987,0.1289,131
281474976893734_f2994_chunk_0.wav,1.732,0.4933,0.2848,33
281474976887640_f478_chunk_0.wav,3.769,0.5966,0.1583,50
281474976884126_f3274_chunk_5.wav,7.408,0.6856,0.0926,75
281474976934186_f3139_chunk_1.wav,6.02,0.7281,0.1209,54
281474976893724_f3273_chunk_4.wav,7.036,0.8482,0.1205,98
281474976884131_f3182_chunk_6.wav,10.645,0.7587,0.0713,86
281474976885510_f2092_chunk_3.wav,0.663,0.3057,0.4613,6
281474976893915_f2228_chunk_11.wav,5.365,0.6553,0.1222,78
281474976899939_f968_chunk_0.wav,0.159,0.2694,1.6971,5
281474976884229_f2757_chunk_0.wav,8.398,0.7673,0.0914,118
281474976894795_f2258_chunk_10.wav,9.13,1.2325,0.135,113
281474976884478_f2191_chunk_13.wav,2.04,0.4277,0.2097,31
281474976890741_f3144_chunk_0.wav,5.229,0.669,0.1279,35
281474976888961_f1990_chunk_0.wav,17.474,1.6045,0.0918,218
281474976896668_f987_chunk_0.wav,13.922,0.8114,0.0583,70
281474976883938_f1692_chunk_3.wav,0.772,0.3933,0.5096,7
281474976887081_f2283_chunk_5.wav,0.635,0.4818,0.7584,6
281474976903907_f3262_chunk_4.wav,8.997,0.92,0.1023,82
281474976888919_f3231_chunk_13.wav,10.92,9.5961,0.8788,98
