split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,rbE6EuQLZbY,189,49.48,M,AVG,SOUTH,Non-Engineering,Removable Singularities,medium_ft_disjoint_s44,hf_clean,alt,so i will one s t define a removal similarity if function f is said to be is said to have a removable similarity at a point a if f is analytic in b prime a r for some r plus and if there is a function there is an analytic function g on the whole of b a r which means it it,so i will one s t define a removal similarity if function f is said to be is said to have a removable similarity at a point a if f is analytic in b prime a r for some r plus and if there is a function there is an analytic function g on the whole of b a r which means it it,"so, I will first define a removable singularity. A function f is said to be is said to have a removable singularity at a point a, if f is analytic. So, this is the point a, this is the point b, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, this is the point c, if f is analytic in B prime a r for some r positive and if there is a function, there is an analytic function,",so i will first define a removable singularity a function f is said to be is said to have a removable singularity at a point a if f is analytic so this is the point a this is the point b this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c this is the point c if f is analytic in b prime a r for some r positive and if there is a function there is an analytic function,5.625,5.0368,0.675,6.0938
test,VVTFxiwiWB8,319,61.059,M,SLOW,EAST,Engineering,Pollution Modelling-Surface Water(Contd...),medium_ft_disjoint_s44,hf_clean,alt,this is say biochemical oxygen demand biochemical biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that in this biochemical oxygen biological oxygen demand would include,this is say biochemical oxygen demand biochemical biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that in this biochemical oxygen biological oxygen demand would include,"Odyssois biochemical oxygen demand, biochemical, biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand plus non-biochemical oxygen demand, demand say from biochemical say this is waste, waste or living organisms, waste or living, waste or living organisms. So, we can see this you know waste or living organism, we can observe that you know this biochemical oxygen, biological oxygen demand would include this",odyssois biochemical oxygen demand biochemical biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand plus non biochemical oxygen demand demand say from biochemical say this is waste waste or living organisms waste or living waste or living organisms so we can see this you know waste or living organism we can observe that you know this biochemical oxygen biological oxygen demand would include this,4.5517,5.0413,0.9615,5.4828
test,RbuSM2lRW_o,187,33.69,F,AVG,WEST,Non-Engineering,Tutorial 2,medium_ft_disjoint_s44,hf_clean,alt,functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a zero plus a one x plus a two x square now when we take these three functions f x is equal to one f x is equal to x and f x is equal to x square we will get three equations in three unknowns a zero a one a two and then we determine,functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a zero plus a one x plus a two x square now when we take these three functions f x is equal to one f x is equal to x and f x is equal to x square we will get three equations in three unknowns a zero a one a two and then we determine,"functions f x is equal to 1 f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a 0 plus a 1 x plus a 2 x square. Now, when we take these three functions f x is equal to 1 f x x is equal to x and f x is equal to x square, we will get three equations in three unknowns a 0, a 1, a 2, a 3, a 4, a 5, a 6, a 7, a 8, a 9, a 10, a 11, a 12, a 13, a 14, a 14, a 15, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a 16, a",functions f x is equal to one f x is equal to x and f x is equal to x square then there will not be any error for a general quadratic polynomial of the form a zero plus a one x plus a two x square now when we take these three functions f x is equal to one f x x is equal to x and f x is equal to x square we will get three equations in three unknowns a zero a one a two a three a four a five a six a seven a eight a nine a ten a eleven a twelve a thirteen a fourteen a fourteen a fifteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a sixteen a,2.8913,3.3008,0.9737,3.8478
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,medium_ft_disjoint_s44,hf_clean,alt,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,f which we have seen c times n minus one minus two j sorry this is i made a mistake here j two is one but j two is two j two so this should be counted as two into one that is two and j is five so f is c into four minus two into five which is two,1.625,1.4057,0.9412,2.5417
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),medium_ft_disjoint_s44,hf_clean,alt,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive per minute okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute so I'd say on average two people arrive at the bus stop K is that zero right so I'll put I'll just substitute K with zero,rate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so id say on average two people arrive at the bus stop k is that zero right so ill put ill just substitute k with zero,1.2292,0.7931,0.1176,1.2708
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,medium_ft_disjoint_s44,hf_clean,alt,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We will talk about how it affects our analysis. Sir, so as many number of processors as you need, which means it is valid for a single processor to a machine of even millions of processors. Yes, right. So, one is the amount of resources. How much memory I have, how much local versus odd shared,",i wont say assumption but it is an abstraction we will talk about how it affects our analysis sir so as many number of processors as you need which means it is valid for a single processor to a machine of even millions of processors yes right so one is the amount of resources how much memory i have how much local versus odd shared,1.0,0.8764,0.8667,1.8571
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),medium_ft_disjoint_s44,hf_clean,alt,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"is much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds. Once the sludge is dried how can we remove it? We have to remove the sludge from the sludge drying bud manually. So, it is a labor intensive process",is much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds once the sludge is dried how can we remove it we have to remove the sludge from the sludge drying bud manually so it is a labor intensive process,1.0,0.7091,0.2571,1.125
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,medium_ft_disjoint_s44,hf_clean,alt,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of B n plus in the solution. So, R n minus B n plus resin means activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the",by what is the concentration of b n plus in the solution so r n minus b n plus resin means activity of b n plus in the resin and b n plus one s means activity of b n plus in the,0.9574,0.7046,0.1667,0.9149
test,qBw8ZQrJeys,292,7.01,M,SLOW,SOUTH,Engineering,Level Testing,medium_ft_disjoint_s44,hf_clean,alt,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,stability this we will continue in the next class.,stability this we will continue in the next class,0.9091,0.8508,0.1081,0.2045
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,medium_ft_disjoint_s44,hf_clean,alt,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,the problem generally we work on shared memory model the people are working nowadays on cluster machines. Now the next problem is that you have to tell me how I can do it,the problem generally we work on shared memory model the people are working nowadays on cluster machines now the next problem is that you have to tell me how i can do it,0.9024,0.7529,0.25,0.8049
